Model Name,Epoch,Train Loss,Val Loss
BaselineSWC_5 - 24 input / 1 output,1,0.006327596493065357,0.0067519149743020535
BaselineSWC_5 - 24 input / 1 output,2,0.006327602546662092,0.006751914042979479
BaselineSWC_5 - 24 input / 1 output,3,0.006327601615339518,0.006751913111656904
BaselineSWC_5 - 24 input / 1 output,4,0.006327597890049219,0.0067519149743020535
BaselineSWC_5 - 24 input / 1 output,5,0.006327600218355656,0.006751914042979479
BaselineSWC_5 - 24 input / 1 output,6,0.006327598821371794,0.006751914508640766
BaselineSWC_5 - 24 input / 1 output,7,0.006327604874968529,0.006751914508640766
BaselineSWC_5 - 24 input / 1 output,8,0.006327598821371794,0.006751914042979479
BaselineSWC_5 - 24 input / 1 output,9,0.006327604874968529,0.0067519149743020535
BaselineSWC_5 - 24 input / 1 output,10,0.006327601615339518,0.006751915905624628
Multi-step LinearSWC_5 - 24 input / 1 output,1,0.24395427107810974,0.03451855108141899
Multi-step LinearSWC_5 - 24 input / 1 output,2,0.012986797839403152,0.006572619546204805
Multi-step LinearSWC_5 - 24 input / 1 output,3,0.005593474954366684,0.0056658280082046986
Multi-step LinearSWC_5 - 24 input / 1 output,4,0.0054449294693768024,0.005690535996109247
Multi-step LinearSWC_5 - 24 input / 1 output,5,0.005433304701000452,0.005704945418983698
Multi-step LinearSWC_5 - 24 input / 1 output,6,0.005456184968352318,0.005689120851457119
Multi-step LinearSWC_5 - 24 input / 1 output,7,0.0054054562933743,0.005658244714140892
Multi-step LinearSWC_5 - 24 input / 1 output,8,0.005417535547167063,0.005665897391736507
Multi-step LinearSWC_5 - 24 input / 1 output,9,0.005412656348198652,0.005677578039467335
Multi-step LinearSWC_5 - 24 input / 1 output,10,0.005469859577715397,0.00570283317938447
Multi-step DenseSWC_5 - 24 input / 1 output,1,0.02310028299689293,0.004727297928184271
Multi-step DenseSWC_5 - 24 input / 1 output,2,0.005574192386120558,0.005050020292401314
Multi-step DenseSWC_5 - 24 input / 1 output,3,0.005206629633903503,0.004661791026592255
Multi-step DenseSWC_5 - 24 input / 1 output,4,0.004834942054003477,0.004888154100626707
Multi-step DenseSWC_5 - 24 input / 1 output,5,0.0047043198719620705,0.004088680725544691
Multi-step DenseSWC_5 - 24 input / 1 output,6,0.004740133881568909,0.0038848596159368753
Multi-step DenseSWC_5 - 24 input / 1 output,7,0.004684214945882559,0.004117654636502266
Multi-step DenseSWC_5 - 24 input / 1 output,8,0.004446153063327074,0.004433237481862307
Multi-step DenseSWC_5 - 24 input / 1 output,9,0.004513284657150507,0.004288267809897661
Multi-step DenseSWC_5 - 24 input / 1 output,10,0.0042902324348688126,0.003884436795488
CNNSWC_5 - 24 input / 1 output,1,0.02413064055144787,0.00862167775630951
CNNSWC_5 - 24 input / 1 output,2,0.006424266379326582,0.010581291280686855
CNNSWC_5 - 24 input / 1 output,3,0.005929205566644669,0.009224189445376396
CNNSWC_5 - 24 input / 1 output,4,0.005510146729648113,0.007981181144714355
CNNSWC_5 - 24 input / 1 output,5,0.005001525394618511,0.007411670871078968
CNNSWC_5 - 24 input / 1 output,6,0.005140417255461216,0.006622512359172106
CNNSWC_5 - 24 input / 1 output,7,0.004638022743165493,0.00566586758941412
CNNSWC_5 - 24 input / 1 output,8,0.004478324204683304,0.005628624465316534
CNNSWC_5 - 24 input / 1 output,9,0.004483206197619438,0.0050795432180166245
CNNSWC_5 - 24 input / 1 output,10,0.004251057747751474,0.005480737891048193
RNNSWC_5 - 24 input / 1 output,1,0.02524656057357788,0.005032495129853487
RNNSWC_5 - 24 input / 1 output,2,0.004608638118952513,0.004891902208328247
RNNSWC_5 - 24 input / 1 output,3,0.004021098837256432,0.006090654991567135
RNNSWC_5 - 24 input / 1 output,4,0.0039907521568238735,0.0046535516157746315
RNNSWC_5 - 24 input / 1 output,5,0.0037594111636281013,0.004586047492921352
RNNSWC_5 - 24 input / 1 output,6,0.003755745943635702,0.005399378947913647
RNNSWC_5 - 24 input / 1 output,7,0.003734417026862502,0.004453776869922876
RNNSWC_5 - 24 input / 1 output,8,0.003663858864456415,0.004637501668184996
RNNSWC_5 - 24 input / 1 output,9,0.003562042023986578,0.00479880440980196
RNNSWC_5 - 24 input / 1 output,10,0.0035413294099271297,0.0045350082218647
LSTMSWC_5 - 24 input / 1 output,1,0.03089013695716858,0.005064491648226976
LSTMSWC_5 - 24 input / 1 output,2,0.005220403894782066,0.003902141936123371
LSTMSWC_5 - 24 input / 1 output,3,0.004254394210875034,0.004102057311683893
LSTMSWC_5 - 24 input / 1 output,4,0.0038245234172791243,0.005687384866178036
LSTMSWC_5 - 24 input / 1 output,5,0.003722087014466524,0.0037536141462624073
LSTMSWC_5 - 24 input / 1 output,6,0.003490598639473319,0.0038920079823583364
LSTMSWC_5 - 24 input / 1 output,7,0.0034771794453263283,0.0035805259831249714
LSTMSWC_5 - 24 input / 1 output,8,0.0033404044806957245,0.003643034491688013
LSTMSWC_5 - 24 input / 1 output,9,0.003279407974332571,0.004008391872048378
LSTMSWC_5 - 24 input / 1 output,10,0.0032078518997877836,0.004023249261081219
AutoregressiveSWC_5 - 24 input / 1 output,1,0.07780316472053528,0.05317619442939758
AutoregressiveSWC_5 - 24 input / 1 output,2,0.04867926985025406,0.05347396805882454
AutoregressiveSWC_5 - 24 input / 1 output,3,0.04676881060004234,0.054243575781583786
AutoregressiveSWC_5 - 24 input / 1 output,4,0.04561608284711838,0.051645103842020035
AutoregressiveSWC_5 - 24 input / 1 output,5,0.04456331580877304,0.05056828260421753
AutoregressiveSWC_5 - 24 input / 1 output,6,0.04365881532430649,0.04961491376161575
AutoregressiveSWC_5 - 24 input / 1 output,7,0.04292931780219078,0.04949629679322243
AutoregressiveSWC_5 - 24 input / 1 output,8,0.04213382676243782,0.05193173885345459
AutoregressiveSWC_5 - 24 input / 1 output,9,0.04167407006025314,0.048472411930561066
AutoregressiveSWC_5 - 24 input / 1 output,10,0.04093552008271217,0.04896766319870949
Bi-LSTMSWC_5 - 24 input / 1 output,1,0.029163768514990807,0.007803954184055328
Bi-LSTMSWC_5 - 24 input / 1 output,2,0.006384223233908415,0.0050763641484081745
Bi-LSTMSWC_5 - 24 input / 1 output,3,0.005290825851261616,0.003868761705234647
Bi-LSTMSWC_5 - 24 input / 1 output,4,0.004779584240168333,0.004905336536467075
Bi-LSTMSWC_5 - 24 input / 1 output,5,0.004468365106731653,0.003837649477645755
Bi-LSTMSWC_5 - 24 input / 1 output,6,0.004321888089179993,0.004550405777990818
Bi-LSTMSWC_5 - 24 input / 1 output,7,0.004114347975701094,0.0054309796541929245
Bi-LSTMSWC_5 - 24 input / 1 output,8,0.003904104931280017,0.0043646590784192085
Bi-LSTMSWC_5 - 24 input / 1 output,9,0.0039040162228047848,0.004331022500991821
Bi-LSTMSWC_5 - 24 input / 1 output,10,0.0035342935007065535,0.00421665096655488
BaselineSWC_5 - 24 input / 1 output,1,0.006327602546662092,0.006751913111656904
BaselineSWC_5 - 24 input / 1 output,2,0.006327599287033081,0.006751911249011755
BaselineSWC_5 - 24 input / 1 output,3,0.006327600218355656,0.006751911249011755
